Experiment Index,Algorithm,Data Type,Size,Structure,Trial,Time(ms)
88,BubbleSortWhileNeeded,double,10000,bestCase,1,0.04
89,BubbleSortWhileNeeded,double,10000,worstCase,1,270.52
90,BubbleSortWhileNeeded,double,10000,averageCase,1,375.36
91,BubbleSortWhileNeeded,char,100,bestCase,1,0.04
92,BubbleSortWhileNeeded,char,100,worstCase,1,0.05
93,BubbleSortWhileNeeded,char,100,averageCase,1,0.05
94,BubbleSortWhileNeeded,char,1000,bestCase,1,4.48
95,BubbleSortWhileNeeded,char,1000,worstCase,1,5.15
96,BubbleSortWhileNeeded,char,1000,averageCase,1,6.26
97,BubbleSortWhileNeeded,char,10000,bestCase,1,307.84
98,BubbleSortWhileNeeded,char,10000,worstCase,1,274.22
99,BubbleSortWhileNeeded,char,10000,averageCase,1,314.91
100,BubbleSortWhileNeeded,string,100,bestCase,1,0.02
101,BubbleSortWhileNeeded,string,100,worstCase,1,0.03
102,BubbleSortWhileNeeded,string,100,averageCase,1,0.03
103,BubbleSortWhileNeeded,string,1000,bestCase,1,3.54
104,BubbleSortWhileNeeded,string,1000,worstCase,1,2.79
105,BubbleSortWhileNeeded,string,1000,averageCase,1,3.32
106,BubbleSortWhileNeeded,string,10000,bestCase,1,351.59
107,BubbleSortWhileNeeded,string,10000,worstCase,1,356.80
108,BubbleSortWhileNeeded,string,10000,averageCase,1,480.66
109,QuickSortGPT,int,100,bestCase,1,0.24
110,QuickSortGPT,int,100,worstCase,1,0.61
111,QuickSortGPT,int,100,averageCase,1,0.02
112,QuickSortGPT,int,1000,bestCase,1,11.91
113,QuickSortGPT,int,1000,worstCase,1,3.59
114,QuickSortGPT,int,1000,averageCase,1,0.13
115,QuickSortGPT,int,10000,bestCase,1,146.66
116,QuickSortGPT,int,10000,worstCase,1,161.67
117,QuickSortGPT,int,10000,averageCase,1,1.23
118,QuickSortGPT,long,100,bestCase,1,0.47
119,QuickSortGPT,long,100,worstCase,1,0.25
120,QuickSortGPT,long,100,averageCase,1,0.05
121,QuickSortGPT,long,1000,bestCase,1,29.76
122,QuickSortGPT,long,1000,worstCase,1,9.10
123,QuickSortGPT,long,1000,averageCase,1,0.09
124,QuickSortGPT,long,10000,bestCase,1,171.30
125,QuickSortGPT,long,10000,worstCase,1,137.20
126,QuickSortGPT,long,10000,averageCase,1,0.90
127,QuickSortGPT,float,100,bestCase,1,0.32
128,QuickSortGPT,float,100,worstCase,1,0.22
129,QuickSortGPT,float,100,averageCase,1,0.03
130,QuickSortGPT,float,1000,bestCase,1,5.94
131,QuickSortGPT,float,1000,worstCase,1,1.95
132,QuickSortGPT,float,1000,averageCase,1,0.11
133,QuickSortGPT,float,10000,bestCase,1,285.74
134,QuickSortGPT,float,10000,worstCase,1,292.96
135,QuickSortGPT,float,10000,averageCase,1,3.03
136,QuickSortGPT,double,100,bestCase,1,0.09
137,QuickSortGPT,double,100,worstCase,1,0.04
138,QuickSortGPT,double,100,averageCase,1,0.02
139,QuickSortGPT,double,1000,bestCase,1,4.61
