Experiment Index,Algorithm,Data Type,Size,Structure,Trial,Time,Source
3,BubbleSortUntilNoChange,int,100,averageCase,28,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,29,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,30,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,31,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,32,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,33,0.03,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,34,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,35,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,36,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,37,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,38,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,39,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,40,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,41,0.01,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,42,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,43,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,44,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,45,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,46,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,47,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,48,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,49,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,50,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,51,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,52,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,53,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,54,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,55,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,56,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,57,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,58,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,59,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,60,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,61,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,62,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,63,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,64,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,65,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,66,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,67,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,68,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,69,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,70,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,71,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,72,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,73,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,74,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,75,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,76,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,77,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,78,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,79,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,80,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,81,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,82,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,83,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,84,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,85,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,86,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,87,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,88,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,89,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,90,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,91,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,92,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,93,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,94,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,95,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,96,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,97,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,98,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,99,0.02,Mac
3,BubbleSortUntilNoChange,int,100,averageCase,100,0.02,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,1,1.73,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,2,1.73,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,3,1.82,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,4,1.78,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,5,1.83,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,6,1.77,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,7,1.77,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,8,1.78,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,9,1.87,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,10,1.8,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,11,1.81,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,12,1.81,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,13,1.8,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,14,1.8,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,15,1.8,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,16,1.8,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,17,1.8,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,18,1.76,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,19,1.84,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,20,1.84,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,21,1.79,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,22,1.78,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,23,1.74,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,24,1.78,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,25,1.74,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,26,1.79,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,27,1.81,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,28,1.8,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,29,1.79,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,30,1.78,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,31,1.75,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,32,1.84,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,33,1.81,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,34,1.67,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,35,1.69,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,36,1.85,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,37,1.86,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,38,1.82,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,39,1.68,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,40,1.71,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,41,1.78,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,42,1.82,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,43,1.71,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,44,1.75,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,45,1.69,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,46,1.77,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,47,1.77,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,48,1.78,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,49,1.79,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,50,1.81,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,51,1.78,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,52,1.72,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,53,1.79,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,54,1.81,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,55,1.83,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,56,1.82,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,57,1.81,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,58,1.8,Mac
