Experiment Index,Algorithm,Data Type,Size,Structure,Trial,Time(ms)
64,BubbleSortWhileNeeded,long,100,bestCase,56,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,57,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,58,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,59,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,60,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,61,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,62,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,63,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,64,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,65,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,66,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,67,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,68,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,69,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,70,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,71,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,72,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,73,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,74,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,75,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,76,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,77,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,78,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,79,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,80,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,81,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,82,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,83,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,84,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,85,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,86,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,87,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,88,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,89,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,90,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,91,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,92,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,93,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,94,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,95,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,96,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,97,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,98,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,99,0.00
64,BubbleSortWhileNeeded,long,100,bestCase,100,0.00
65,BubbleSortWhileNeeded,long,100,worstCase,1,0.21
65,BubbleSortWhileNeeded,long,100,worstCase,2,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,3,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,4,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,5,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,6,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,7,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,8,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,9,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,10,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,11,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,12,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,13,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,14,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,15,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,16,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,17,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,18,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,19,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,20,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,21,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,22,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,23,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,24,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,25,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,26,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,27,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,28,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,29,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,30,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,31,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,32,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,33,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,34,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,35,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,36,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,37,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,38,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,39,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,40,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,41,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,42,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,43,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,44,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,45,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,46,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,47,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,48,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,49,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,50,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,51,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,52,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,53,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,54,0.02
65,BubbleSortWhileNeeded,long,100,worstCase,55,0.02
