Experiment Index,Algorithm,Data Type,Size,Structure,Trial,Time(ms)
1,BubbleSortUntilNoChange,int,100,bestCase,90,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,91,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,92,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,93,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,94,0.03
1,BubbleSortUntilNoChange,int,100,bestCase,95,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,96,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,97,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,98,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,99,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,100,0.01
2,BubbleSortUntilNoChange,int,100,worstCase,1,0.07
2,BubbleSortUntilNoChange,int,100,worstCase,2,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,3,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,4,0.07
2,BubbleSortUntilNoChange,int,100,worstCase,5,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,6,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,7,0.07
2,BubbleSortUntilNoChange,int,100,worstCase,8,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,9,0.07
2,BubbleSortUntilNoChange,int,100,worstCase,10,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,11,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,12,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,13,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,14,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,15,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,16,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,17,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,18,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,19,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,20,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,21,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,22,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,23,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,24,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,25,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,26,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,27,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,28,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,29,0.10
2,BubbleSortUntilNoChange,int,100,worstCase,30,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,31,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,32,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,33,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,34,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,35,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,36,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,37,0.18
2,BubbleSortUntilNoChange,int,100,worstCase,38,0.08
2,BubbleSortUntilNoChange,int,100,worstCase,39,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,40,0.65
2,BubbleSortUntilNoChange,int,100,worstCase,41,0.07
2,BubbleSortUntilNoChange,int,100,worstCase,42,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,43,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,44,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,45,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,46,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,47,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,48,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,49,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,50,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,51,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,52,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,53,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,54,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,55,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,56,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,57,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,58,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,59,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,60,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,61,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,62,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,63,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,64,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,65,0.17
2,BubbleSortUntilNoChange,int,100,worstCase,66,0.08
2,BubbleSortUntilNoChange,int,100,worstCase,67,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,68,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,69,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,70,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,71,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,72,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,73,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,74,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,75,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,76,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,77,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,78,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,79,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,80,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,81,0.06
2,BubbleSortUntilNoChange,int,100,worstCase,82,0.40
2,BubbleSortUntilNoChange,int,100,worstCase,83,0.35
2,BubbleSortUntilNoChange,int,100,worstCase,84,0.34
2,BubbleSortUntilNoChange,int,100,worstCase,85,0.35
